Activity,Start Date,Duration,Decimal
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2024-07-30,01:19:00,1.32
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2024-07-17,00:54:38,0.91
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2024-02-22,01:02:33,1.04
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2024-02-16,00:28:10,0.47
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2024-02-07,00:20:00,0.33
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2024-01-05,02:35:00,2.58
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2024-01-04,00:51:16,0.85
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-12-04,00:09:59,0.17
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-11-06,00:18:50,0.31
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-11-06,00:12:52,0.21
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-10-03,00:26:22,0.44
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-08-23,02:30:00,2.5
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-08-17,00:35:00,0.58
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-08-14,01:00:00,1.0
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-08-11,01:00:00,1.0
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-08-10,02:30:00,2.5
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-08-09,00:52:47,0.88
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-08-08,01:09:00,1.15
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-08-07,00:02:56,0.05
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-08-07,00:25:00,0.42
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-07-31,01:54:00,1.9
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-07-19,00:30:00,0.5
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-07-18,00:12:41,0.21
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-07-12,01:20:00,1.33
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-07-06,00:35:00,0.58
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-07-05,00:45:00,0.75
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-07-03,01:00:00,1.0
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-06-30,01:30:00,1.5
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-06-30,01:35:00,1.58
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-06-29,00:45:00,0.75
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-06-29,01:26:00,1.43
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-06-28,01:05:00,1.08
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-06-28,01:30:00,1.5
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-06-27,00:25:00,0.42
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-06-27,00:30:00,0.5
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-06-27,01:25:00,1.42
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-06-23,00:15:00,0.25
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-06-07,00:38:00,0.63
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-06-06,00:25:00,0.42
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-06-02,00:20:00,0.33
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-05-31,00:45:00,0.75
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-05-30,00:20:00,0.33
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-05-29,00:50:00,0.83
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-05-26,00:40:00,0.67
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-05-22,01:33:00,1.55
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-05-19,01:10:58,1.18
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-05-17,00:40:00,0.67
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-05-17,01:17:00,1.28
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-05-17,00:51:32,0.86
[UIUX-37] Alinhamento sobre processos GazinTech/Tuia,2023-05-09,01:30:00,1.5
